Time;Channel A;Channel B
(ms);(V);(V)

-500,45889616;0,00003052;-0,00042726
-500,13121616;0,00003052;-0,00042726
-499,80353616;0,00003052;-0,00042726
-499,47585617;0,00003052;0,01727348
-499,14817617;0,00003052;-0,00042726
-498,82049617;0,00003052;-0,00042726
-498,49281617;0,00003052;-0,00042726
-498,16513617;0,00003052;-0,00042726
-497,83745618;0,00003052;-0,00042726
-497,50977618;0,00003052;-0,00042726
-497,18209618;0,00003052;-0,00042726
-496,85441618;0,00003052;-0,00042726
-496,52673618;0,00003052;-0,00042726
-496,19905619;0,00003052;-0,00042726
-495,87137619;0,00003052;-0,00042726
-495,54369619;0,00003052;-0,00042726
-495,21601619;0,00003052;-0,00042726
-494,88833619;0,00003052;-0,00042726
-494,56065620;0,00003052;-0,00042726
-494,23297620;0,00003052;-0,00042726
-493,90529620;0,00003052;-0,00042726
-493,57761620;0,00003052;-0,00042726
-493,24993620;0,00003052;-0,00042726
-492,92225621;0,00003052;-0,00042726
-492,59457621;0,00003052;-0,00042726
-492,26689621;0,00003052;-0,00042726
-491,93921621;0,00003052;-0,00042726
-491,61153621;0,00003052;-0,00042726
-491,28385622;0,00003052;-0,00042726
-490,95617622;0,00003052;-0,00042726
-490,62849622;0,00003052;-0,00042726
-490,30081622;0,00003052;-0,00042726
-489,97313622;0,00003052;-0,00042726
-489,64545623;0,00003052;-0,00042726
-489,31777623;0,00003052;-0,00042726
-488,99009623;0,00003052;-0,00042726
-488,66241623;0,00003052;-0,00042726
-488,33473623;0,00003052;-0,00042726
-488,00705624;0,00003052;-0,00042726
-487,67937624;0,00003052;-0,00042726
-487,35169624;0,00003052;0,01727348
-487,02401624;0,00003052;-0,00042726
-486,69633624;0,00003052;-0,00042726
-486,36865625;0,00003052;-0,00042726
-486,04097625;0,00003052;-0,00042726
-485,71329625;0,00003052;-0,00042726
-485,38561625;0,00003052;-0,00042726
-485,05793625;0,00003052;-0,00042726
-484,73025626;0,00878933;-0,00042726
-484,40257626;0,00003052;-0,00042726
-484,07489626;0,00003052;-0,00042726
-483,74721626;0,00003052;-0,00042726
-483,41953626;0,00003052;-0,00042726
-483,09185627;0,00003052;-0,00042726
-482,76417627;0,00003052;-0,00042726
-482,43649627;0,00003052;-0,00042726
-482,10881627;0,00003052;-0,00042726
-481,78113627;0,00003052;-0,00042726
-481,45345628;0,00003052;-0,00042726
-481,12577628;0,00003052;-0,00042726
-480,79809628;0,00003052;-0,00042726
-480,47041628;0,00003052;-0,00042726
-480,14273628;0,00003052;-0,00042726
-479,81505629;0,00003052;-0,00042726
-479,48737629;0,00878933;-0,00042726
-479,15969629;0,00003052;-0,00042726
-478,83201629;0,00003052;-0,00042726
-478,50433629;0,00003052;-0,00042726
-478,17665630;0,00003052;-0,00042726
-477,84897630;0,00003052;-0,00042726
-477,52129630;0,00003052;-0,00042726
-477,19361630;0,00003052;-0,00042726
-476,86593630;0,00003052;-0,00042726
-476,53825631;0,00003052;-0,00042726
-476,21057631;0,00003052;-0,00042726
-475,88289631;0,00003052;-0,00042726
-475,55521631;0,00003052;-0,00042726
-475,22753631;0,00003052;-0,00042726
-474,89985632;0,00003052;-0,00042726
-474,57217632;0,00878933;-0,00042726
-474,24449632;0,00003052;-0,00042726
-473,91681632;0,00878933;-0,00042726
-473,58913632;0,00003052;-0,00042726
-473,26145633;0,00003052;-0,00042726
-472,93377633;0,00003052;0,01727348
-472,60609633;0,00003052;-0,00042726
-472,27841633;0,00003052;-0,00042726
-471,95073633;0,00003052;-0,00042726
-471,62305634;0,00003052;-0,00042726
-471,29537634;0,00003052;-0,00042726
-470,96769634;0,00003052;0,01727348
-470,64001634;0,00003052;-0,00042726
-470,31233634;0,00003052;-0,00042726
-469,98465635;0,00003052;-0,00042726
-469,65697635;0,00003052;-0,00042726
-469,32929635;0,00003052;-0,00042726
-469,00161635;0,00003052;-0,00042726
-468,67393635;0,00003052;-0,00042726
-468,34625636;0,00003052;-0,00042726
-468,01857636;0,00003052;-0,00042726
-467,69089636;0,00003052;-0,00042726
-467,36321636;0,00003052;-0,00042726
-467,03553636;0,00003052;0,01727348
-466,70785637;0,00003052;-0,00042726
-466,38017637;0,00878933;-0,00042726
-466,05249637;0,00003052;-0,00042726
-465,72481637;0,00003052;-0,00042726
-465,39713637;0,00003052;-0,00042726
-465,06945638;0,00003052;-0,00042726
-464,74177638;0,00003052;-0,00042726
-464,41409638;0,00003052;0,01727348
-464,08641638;0,00003052;0,01727348
-463,75873638;0,00003052;-0,00042726
-463,43105639;0,00003052;-0,00042726
