Time;Channel A
(ms);(mV)

-2,50134594;162,67890000
-2,50070594;65,96575000
-2,50006594;-43,93139000
-2,49942594;-140,64450000
-2,49878594;-180,21180000
-2,49814594;-193,39580000
-2,49750594;-197,80570000
-2,49686594;-197,80570000
-2,49622594;-197,80570000
-2,49558594;-197,80570000
-2,49494594;-197,80570000
-2,49430594;-197,80570000
-2,49366594;-197,80570000
-2,49302594;-197,80570000
-2,49238594;-197,80570000
-2,49174594;-197,80570000
-2,49110594;-197,80570000
-2,49046594;-197,80570000
-2,48982594;-197,80570000
-2,48918594;-197,80570000
-2,48854594;-197,80570000
-2,48790594;-197,80570000
-2,48726594;-197,80570000
-2,48662594;-197,80570000
-2,48598594;-197,80570000
-2,48534594;-197,80570000
-2,48470594;-197,80570000
-2,48406594;-197,80570000
-2,48342594;-197,80570000
-2,48278594;-197,80570000
-2,48214594;-197,80570000
-2,48150594;-197,80570000
-2,48086594;-197,80570000
-2,48022594;-197,80570000
-2,47958594;-197,80570000
-2,47894594;-197,80570000
-2,47830594;-197,80570000
-2,47766594;-197,80570000
-2,47702594;-197,80570000
-2,47638594;-197,80570000
-2,47574594;-197,80570000
-2,47510594;-197,80570000
-2,47446594;-197,80570000
-2,47382594;-197,80570000
-2,47318594;-197,80570000
-2,47254594;-197,80570000
-2,47190594;-197,80570000
-2,47126594;-197,80570000
-2,47062594;-197,80570000
-2,46998594;-197,80570000
-2,46934594;-197,80570000
-2,46870594;-197,80570000
-2,46806594;-197,80570000
-2,46742594;-197,80570000
-2,46678594;-197,80570000
-2,46614594;-197,80570000
-2,46550594;-197,80570000
-2,46486594;-197,80570000
-2,46422594;-197,80570000
-2,46358594;-197,80570000
-2,46294594;-197,80570000
-2,46230594;-197,80570000
-2,46166594;-197,80570000
-2,46102594;-197,80570000
-2,46038594;-197,80570000
-2,45974594;-197,80570000
-2,45910594;-197,80570000
-2,45846594;-197,80570000
-2,45782594;-197,80570000
-2,45718594;-197,80570000
-2,45654594;-197,80570000
-2,45590594;-202,20040000
